state,crop,average_area,total_production,season,area_units,production_units,yield_value,annual_rainfall,min_price,max_price,modal_price,soil_index,production_per_hectare,loan_eligibility
andhra pradesh,jowar,11411.80783817952,10492826.0,kharif,hectare,tonnes,1.3512399172698166,916.0857304643262,1800.0,1950.0,1900.0,82.07987179487179,919.4709680349716,1
andhra pradesh,linseed,539.7564102564103,9935.0,rabi,hectare,tonnes,0.273647829536079,916.0857304643262,3450.0,3500.0,3475.0,82.07987179487179,18.40645115317926,1
andhra pradesh,maize/corn,14468.475372279496,55285104.0,kharif,hectare,tonnes,4.534665370290632,916.0857304643262,1700.0,1800.0,1800.0,82.07987179487179,3821.0732352575365,1
andhra pradesh,moong,9660.273631840795,3403373.0,kharif,hectare,tonnes,0.4949519979718442,916.0857304643262,6250.0,6720.0,6500.0,82.07987179487179,352.3060660292577,1
andhra pradesh,mustard,680.9333333333333,62754.0,rabi,hectare,tonnes,0.61950490515983,916.0857304643262,3150.0,3325.0,3250.0,82.07987179487179,92.15880164480126,1
andhra pradesh,onion,1217.7728026533996,14339005.0,rabi,hectare,tonnes,30.62130034513967,916.0857304643262,2000.0,3500.0,3000.0,82.07987179487179,11774.778488037184,1
andhra pradesh,potato,463.1833333333333,563423.0,whole year,hectare,tonnes,10.514966725242685,916.0857304643262,2000.0,3500.0,3000.0,82.07987179487179,1216.4146666186896,1
andhra pradesh,ragi,2569.4692307692308,1539868.0,kharif,hectare,tonnes,1.404338146990966,916.0857304643262,2215.5714285714284,2348.1428571428573,2304.285714285714,82.07987179487179,599.2941972451658,1
andhra pradesh,rice,86286.51623740201,239361201.0,kharif,hectare,tonnes,2.9399154008618344,916.0857304643262,1825.0,1885.0,1855.0,82.07987179487179,2774.027871764346,1
andhra pradesh,soybean,6822.192857142857,1342294.0,kharif,hectare,tonnes,1.4151745747422968,916.0857304643262,3250.0,3300.0,3275.0,82.07987179487179,196.7540390762501,1
andhra pradesh,sweet potato,59.883495145631066,205035.0,whole year,hectare,tonnes,11.359017037255022,916.0857304643262,1658.3333333333333,2258.333333333333,2016.6666666666667,82.07987179487179,3423.898346303502,1
andhra pradesh,tapioca,1903.878787878788,2645146.0,whole year,hectare,tonnes,10.8016919492798,916.0857304643262,2583.333333333333,2833.333333333333,2725.0,82.07987179487179,1389.345801235118,1
andhra pradesh,tobacco,6980.468235294117,4938276.0,whole year,hectare,tonnes,2.069122522106951,916.0857304643262,3000.0,3200.0,3100.0,82.07987179487179,707.441941363111,1
andhra pradesh,turmeric,2567.568115942029,5976471.0,whole year,hectare,tonnes,9.826245809003844,916.0857304643262,5200.0,5200.0,5200.0,82.07987179487179,2327.67768180797,1
andhra pradesh,urad,12976.464735516372,6969227.0,kharif,hectare,tonnes,0.5890763073597766,916.0857304643262,4300.0,4425.0,4400.0,82.07987179487179,537.0666928200667,1
andhra pradesh,wheat,1061.3373493975903,150552.0,rabi,hectare,tonnes,0.8184441576061912,916.0857304643262,2260.0,2550.0,2370.0,82.07987179487179,141.85122203176263,1
arunachal pradesh,arhar/tur,52.11290322580645,2725.0,kharif,hectare,tonnes,0.8202062625538967,2600.325130890052,5700.0,5850.0,5850.0,67.54770833333333,52.29031259671928,1
arunachal pradesh,dry chillies,144.8732394366197,108895.0,whole year,hectare,tonnes,2.228165402645516,2600.325130890052,4000.0,4410.0,4200.0,67.54770833333333,751.6571067470348,1
arunachal pradesh,ginger,381.2134831460674,1020032.0,whole year,hectare,tonnes,6.222174928598379,2600.325130890052,5725.0,6425.0,6200.0,67.54770833333333,2675.750058948361,1
arunachal pradesh,groundnut,61.65853658536585,4779.0,kharif,hectare,tonnes,1.1058888240589275,2600.325130890052,4900.0,4900.0,4900.0,67.54770833333333,77.50751582278481,1
arunachal pradesh,maize/corn,2641.586842105264,1443956.0,kharif,hectare,tonnes,1.5488236737583754,2600.325130890052,1700.0,1800.0,1800.0,67.54770833333333,546.6244671514229,1
arunachal pradesh,moong,70.08108108108108,5269.0,kharif,hectare,tonnes,1.0920380880552911,2600.325130890052,6250.0,6720.0,6500.0,67.54770833333333,75.1843424604705,1
arunachal pradesh,mustard,1410.7339449541284,153484.0,rabi,hectare,tonnes,1.1671393551887137,2600.325130890052,3150.0,3325.0,3250.0,67.54770833333333,108.79726864798074,1
arunachal pradesh,potato,293.7225274725275,799550.0,whole year,hectare,tonnes,7.058188182156897,2600.325130890052,2000.0,3500.0,3000.0,67.54770833333333,2722.126923256793,1
arunachal pradesh,rice,7547.823684210526,3851550.4,kharif,hectare,tonnes,1.3497690180435125,2600.325130890052,1825.0,1885.0,1855.0,67.54770833333333,510.28621774209574,1
arunachal pradesh,soybean,161.11009174311926,24183.0,kharif,hectare,tonnes,1.5935654048297283,2600.325130890052,3250.0,3300.0,3275.0,67.54770833333333,150.10232902454302,1
arunachal pradesh,turmeric,68.97938144329896,56220.0,whole year,hectare,tonnes,4.417471956787857,2600.325130890052,5200.0,5200.0,5200.0,67.54770833333333,815.0261545359439,1
arunachal pradesh,urad,65.10759493670886,9326.0,kharif,hectare,tonnes,0.972007190988357,2600.325130890052,4300.0,4425.0,4400.0,67.54770833333333,143.23981724506658,1
arunachal pradesh,wheat,338.875,140771.0,rabi,hectare,tonnes,1.6968168434834463,2600.325130890052,2260.0,2550.0,2370.0,67.54770833333333,415.40686093692364,1
assam,arhar/tur,250.3904923599321,112591.0,kharif,hectare,tonnes,0.7698532499515083,2095.0688985846155,5700.0,5850.0,5850.0,81.14776041666667,449.6616422565771,1
assam,banana,1793.145488029466,14924443.0,whole year,hectare,tonnes,15.050940031224338,2095.0688985846155,4500.0,5500.0,5000.0,81.14776041666667,8323.051921682527,1
assam,black pepper,123.95428571428572,76919.0,whole year,hectare,tonnes,1.8038383239231064,2095.0688985846155,110000.0,130000.0,120000.0,81.14776041666667,620.5432878480545,1
assam,castor seed,51.61078998073218,11518.0,kharif,hectare,tonnes,0.4982053243748253,2095.0688985846155,4800.0,4950.0,4870.0,81.14776041666667,223.17038751586648,1
assam,cotton(lint),58.40684410646388,14433.0,kharif,hectare,bales,0.5022756248853851,2095.0688985846155,5140.8,5334.0,5230.0,81.14776041666667,247.1114510774038,1
assam,dry chillies,667.8826530612245,295396.0,whole year,hectare,tonnes,0.7048294954933971,2095.0688985846155,4000.0,4410.0,4200.0,81.14776041666667,442.28727703296283,1
assam,ginger,615.008547008547,1743288.0,whole year,hectare,tonnes,7.903286316252664,2095.0688985846155,5725.0,6425.0,6200.0,81.14776041666667,2834.575240424704,1
assam,gram,89.28672566371681,29111.0,rabi,hectare,tonnes,0.5447583741487914,2095.0688985846155,4500.0,4700.0,4600.0,81.14776041666667,326.0395068091264,1
assam,jute,2639.04584040747,15852275.0,kharif,hectare,bales,10.048378835237274,2095.0688985846155,3150.0,3800.0,3350.0,81.14776041666667,6006.820630880894,1
assam,linseed,330.4650283553875,95339.0,rabi,hectare,tonnes,0.5356216553838117,2095.0688985846155,3450.0,3500.0,3475.0,81.14776041666667,288.49951377448286,1
assam,maize/corn,900.322695035461,899598.0,kharif,hectare,tonnes,1.403535828478285,2095.0688985846155,1700.0,1800.0,1800.0,81.14776041666667,999.1950719009338,1
assam,moong,352.01207243460766,101130.0,rabi,hectare,tonnes,0.5357999687980094,2095.0688985846155,6250.0,6720.0,6500.0,81.14776041666667,287.29128322377824,1
assam,mustard,10368.259762309,3430912.0,rabi,hectare,tonnes,0.5445806146053632,2095.0688985846155,3150.0,3325.0,3250.0,81.14776041666667,330.9052896680069,1
assam,onion,294.8709677419355,764312.0,whole year,hectare,tonnes,3.668782412232438,2095.0688985846155,2000.0,3500.0,3000.0,81.14776041666667,2592.021879444262,1
assam,potato,3397.83701188455,14744023.0,whole year,hectare,tonnes,7.109207256540286,2095.0688985846155,2000.0,3500.0,3000.0,81.14776041666667,4339.237858799616,1
assam,rice,32439.31093394077,97989518.0,autumn,hectare,tonnes,1.68177780955208,2095.0688985846155,1825.0,1885.0,1855.0,81.14776041666667,3020.702819475583,1
assam,sweet potato,275.03056027164683,640413.0,whole year,hectare,tonnes,4.142693058901738,2095.0688985846155,1658.3333333333333,2258.333333333333,2016.6666666666667,81.14776041666667,2328.5157815461166,1
assam,tapioca,125.80698529411764,449399.0,whole year,hectare,tonnes,6.162063581304288,2095.0688985846155,2583.333333333333,2833.333333333333,2725.0,81.14776041666667,3572.130744166338,1
assam,tobacco,29.363440860215054,6796.0,whole year,hectare,tonnes,0.5984705943692006,2095.0688985846155,3000.0,3200.0,3100.0,81.14776041666667,231.4442654167277,1
assam,turmeric,538.0764006791171,274525.0,whole year,hectare,tonnes,0.8431672155572169,2095.0688985846155,5200.0,5200.0,5200.0,81.14776041666667,510.19706430818457,1
assam,urad,1807.2233400402413,525869.0,rabi,hectare,tonnes,0.5809717612869116,2095.0688985846155,4300.0,4425.0,4400.0,81.14776041666667,290.98174439706526,1
assam,wheat,2010.891459074733,1329099.0,rabi,hectare,tonnes,1.182360424874894,2095.0688985846155,2260.0,2550.0,2370.0,81.14776041666667,660.9501442765863,1
bihar,arhar/tur,840.9325714285715,1038354.0,kharif,hectare,tonnes,1.4515094233864765,1171.6340567612688,5700.0,5850.0,5850.0,42.42081081081081,1234.7648732835382,1
bihar,bajra,306.8536585365854,76524.0,kharif,hectare,tonnes,0.9015663251339312,1171.6340567612688,1913.3333333333333,1998.3333333333333,1965.0,42.42081081081081,249.3827199745648,1
bihar,banana,702.7748917748918,2885145.0,whole year,hectare,tonnes,18.304182460055213,1171.6340567612688,4500.0,5500.0,5000.0,42.42081081081081,4105.361522967088,1
bihar,castor seed,39.98039215686274,3628.0,kharif,hectare,tonnes,0.9411662273230444,1171.6340567612688,4800.0,4950.0,4870.0,42.42081081081081,90.74448258950467,1
bihar,coriander,81.5130023640662,23819.0,whole year,hectare,tonnes,0.6921864585138395,1171.6340567612688,1525.0,2250.0,1912.5,42.42081081081081,292.2110498839907,1
bihar,cotton(lint),121.5,488.0,kharif,hectare,bales,2.0232558139534884,1171.6340567612688,5140.8,5334.0,5230.0,42.42081081081081,4.016460905349795,0
bihar,dry chillies,117.89010989010988,41236.0,whole year,hectare,tonnes,0.9362197012224232,1171.6340567612688,4000.0,4410.0,4200.0,42.42081081081081,349.7833706189411,1
bihar,garlic,77.62173913043478,51874.0,whole year,hectare,tonnes,1.4572294494226137,1171.6340567612688,3750.0,5500.0,4750.0,42.42081081081081,668.2921637819975,1
bihar,ginger,39.55348837209302,13042.0,kharif,hectare,tonnes,1.5231421992096514,1171.6340567612688,5725.0,6425.0,6200.0,42.42081081081081,329.730714957667,1
bihar,gram,2009.173690932312,1586584.0,rabi,hectare,tonnes,0.9960384931381636,1171.6340567612688,4500.0,4700.0,4600.0,42.42081081081081,789.6699061711192,1
bihar,groundnut,127.18131868131869,23218.0,kharif,hectare,tonnes,0.8720346903694528,1171.6340567612688,4900.0,4900.0,4900.0,42.42081081081081,182.55825808960122,1
bihar,jowar,324.64658634538154,91398.0,kharif,hectare,tonnes,1.068770242076824,1171.6340567612688,1800.0,1950.0,1900.0,42.42081081081081,281.5307594294692,1
bihar,jute,9480.085324232085,26742139.0,kharif,hectare,bales,10.02821348289071,1171.6340567612688,3150.0,3800.0,3350.0,42.42081081081081,2820.875349259179,1
bihar,linseed,737.78898007034,473312.0,rabi,hectare,tonnes,0.7876204775500263,1171.6340567612688,3450.0,3500.0,3475.0,42.42081081081081,641.5276085512621,1
bihar,maize/corn,5957.397828615743,48767397.0,autumn,hectare,tonnes,2.9254440113962112,1171.6340567612688,1700.0,1800.0,1800.0,42.42081081081081,8186.023227414974,1
bihar,moong,2520.1018922852986,2066575.1,kharif,hectare,tonnes,0.6483562351284303,1171.6340567612688,6250.0,6720.0,6500.0,42.42081081081081,820.0363272319804,1
bihar,mustard,2248.4265033407573,2085457.0,rabi,hectare,tonnes,0.9904935150095768,1171.6340567612688,3150.0,3325.0,3250.0,42.42081081081081,927.5184209496668,1
bihar,onion,386.3106960950764,2289684.0,whole year,hectare,tonnes,9.875076334665566,1171.6340567612688,2000.0,3500.0,3000.0,42.42081081081081,5927.053077081969,1
bihar,potato,2945.648195876289,23412225.0,whole year,hectare,tonnes,10.854537514204845,1171.6340567612688,2000.0,3500.0,3000.0,42.42081081081081,7948.072357308505,1
bihar,ragi,626.0656934306569,385385.0,kharif,hectare,tonnes,0.949027126975274,1171.6340567612688,2215.5714285714284,2348.1428571428573,2304.285714285714,42.42081081081081,615.5663919040236,1
bihar,rice,36721.12284894838,131489958.0,autumn,hectare,tonnes,1.5610571499965422,1171.6340567612688,1825.0,1885.0,1855.0,42.42081081081081,3580.771713895607,1
bihar,soybean,4900.0,14779.0,kharif,hectare,tonnes,0.7489451259992693,1171.6340567612688,3250.0,3300.0,3275.0,42.42081081081081,3.016122448979592,0
bihar,sweet potato,206.0560224089636,942343.0,whole year,hectare,tonnes,12.954997955053924,1171.6340567612688,1658.3333333333333,2258.333333333333,2016.6666666666667,42.42081081081081,4573.236875016993,1
bihar,tobacco,1035.3664122137404,374052.0,whole year,hectare,tonnes,1.4087605339221607,1171.6340567612688,3000.0,3200.0,3100.0,42.42081081081081,361.27499944703726,1
bihar,turmeric,140.69278996865205,46063.0,whole year,hectare,tonnes,1.0548134800110165,1171.6340567612688,5200.0,5200.0,5200.0,42.42081081081081,327.40128339386376,1
bihar,urad,637.3943870014771,342526.0,kharif,hectare,tonnes,0.8213558602653084,1171.6340567612688,4300.0,4425.0,4400.0,42.42081081081081,537.3847134289343,1
bihar,wheat,53838.29235880399,110112855.0,rabi,hectare,tonnes,2.190321217764132,1171.6340567612688,2260.0,2550.0,2370.0,42.42081081081081,2045.2516262246127,1
chandigarh,arhar/tur,44.0,88.0,kharif,hectare,tonnes,1.0,1100.0,5700.0,5850.0,5850.0,75.0,2.0,0
chandigarh,gram,2.333333333333333,7.0,rabi,hectare,tonnes,1.0,1100.0,4500.0,4700.0,4600.0,75.0,3.0000000000000004,0
chandigarh,maize/corn,93.05263157894736,4508.0,kharif,hectare,tonnes,2.273805668016194,1100.0,1700.0,1800.0,1800.0,75.0,48.44570135746607,1
chandigarh,moong,2.333333333333333,7.0,kharif,hectare,tonnes,1.0,1100.0,6250.0,6720.0,6500.0,75.0,3.0000000000000004,0
chandigarh,mustard,80.0,521.0,rabi,hectare,tonnes,1.3871428571428572,1100.0,3150.0,3325.0,3250.0,75.0,6.5125,0
chandigarh,onion,6.611111111111111,2234.0,whole year,hectare,tonnes,20.25925925925926,1100.0,2000.0,3500.0,3000.0,75.0,337.91596638655466,1
chandigarh,potato,35.166666666666664,14597.0,whole year,hectare,tonnes,19.70246913580247,1100.0,2000.0,3500.0,3000.0,75.0,415.0805687203792,1
chandigarh,rice,48.09090909090909,4960.0,kharif,hectare,tonnes,4.934090909090909,1100.0,1825.0,1885.0,1855.0,75.0,103.13799621928166,1
chandigarh,urad,11.4,51.0,kharif,hectare,tonnes,0.8866666666666667,1100.0,4300.0,4425.0,4400.0,75.0,4.473684210526316,0
chandigarh,wheat,625.8181818181819,62748.0,rabi,hectare,tonnes,4.562376095577677,1100.0,2260.0,2550.0,2370.0,75.0,100.26554328878558,1
chhattisgarh,arhar/tur,2510.6822429906542,542750.0,kharif,hectare,tonnes,0.5015817497574195,1267.346519524618,5700.0,5850.0,5850.0,76.8975,216.17630089002878,1
chhattisgarh,bajra,17.339449541284402,901.0,kharif,hectare,tonnes,0.5466942327037081,1267.346519524618,1913.3333333333333,1998.3333333333333,1965.0,76.8975,51.96243386243387,1
chhattisgarh,banana,41.98290598290598,434500.0,whole year,hectare,tonnes,32.78952818087911,1267.346519524618,4500.0,5500.0,5000.0,76.8975,10349.4503257329,1
chhattisgarh,castor seed,15.424528301886792,533.0,kharif,hectare,tonnes,0.3881311764854689,1267.346519524618,4800.0,4950.0,4870.0,76.8975,34.55535168195719,1
chhattisgarh,coriander,150.39097744360902,16707.0,whole year,hectare,tonnes,0.2947916981217687,1267.346519524618,1525.0,2250.0,1912.5,76.8975,111.09044095590441,1
chhattisgarh,cotton(lint),86.10958904109589,10398.0,kharif,hectare,bales,1.5710227873270812,1267.346519524618,5140.8,5334.0,5230.0,76.8975,120.75310213172129,1
chhattisgarh,dry chillies,298.51529411764704,74768.0,whole year,hectare,tonnes,0.6140606146074793,1267.346519524618,4000.0,4410.0,4200.0,76.8975,250.46622894481712,1
chhattisgarh,garlic,68.55852842809365,55537.0,whole year,hectare,tonnes,2.936497149959874,1267.346519524618,3750.0,5500.0,4750.0,76.8975,810.0669788770183,1
chhattisgarh,ginger,101.1246376811594,39037.0,whole year,hectare,tonnes,1.201963198271539,1267.346519524618,5725.0,6425.0,6200.0,76.8975,386.02857716120167,1
chhattisgarh,gram,12588.073170731708,4303488.0,rabi,hectare,tonnes,0.8563288522899334,1267.346519524618,4500.0,4700.0,4600.0,76.8975,341.87027209263124,1
chhattisgarh,groundnut,1606.531914893617,765749.0,kharif,hectare,tonnes,1.3392689745069488,1267.346519524618,4900.0,4900.0,4900.0,76.8975,476.6472380044234,1
chhattisgarh,guar seed,26.0,21.0,kharif,hectare,tonnes,0.8076923076923077,1267.346519524618,4000.0,4025.0,4010.0,76.8975,0.8076923076923077,0
chhattisgarh,jowar,318.31151832460733,109907.0,kharif,hectare,tonnes,0.9889244836123504,1267.346519524618,1800.0,1950.0,1900.0,76.8975,345.28125334100906,1
chhattisgarh,linseed,2490.86274509804,257027.0,rabi,hectare,tonnes,0.3233758928401901,1267.346519524618,3450.0,3500.0,3475.0,76.8975,103.18794181085376,1
chhattisgarh,maize/corn,5050.397674418605,3915195.0,kharif,hectare,tonnes,1.7314948386523812,1267.346519524618,1700.0,1800.0,1800.0,76.8975,775.2250916460182,1
chhattisgarh,moong,386.8772609819122,87163.0,kharif,hectare,tonnes,0.2986124494544089,1267.346519524618,6250.0,6720.0,6500.0,76.8975,225.2988448552813,1
chhattisgarh,mustard,2260.707943925234,411055.0,rabi,hectare,tonnes,0.4303056030280895,1267.346519524618,3150.0,3325.0,3250.0,76.8975,181.82578652167305,1
chhattisgarh,onion,245.13456464379948,554129.0,whole year,hectare,tonnes,5.999249860624293,1267.346519524618,2000.0,3500.0,3000.0,76.8975,2260.5094504122444,1
chhattisgarh,potato,436.9278752436648,1182417.0,whole year,hectare,tonnes,6.100622795138906,1267.346519524618,2000.0,3500.0,3000.0,76.8975,2706.2063717967017,1
chhattisgarh,ragi,660.4634146341464,42080.0,kharif,hectare,tonnes,0.2614410560566542,1267.346519524618,2215.5714285714284,2348.1428571428573,2304.285714285714,76.8975,63.712840208279474,1
chhattisgarh,rice,183775.71028037384,116274060.0,kharif,hectare,tonnes,1.494521727290688,1267.346519524618,1825.0,1885.0,1855.0,76.8975,632.695473316951,1
chhattisgarh,soybean,4389.789808917198,1186932.0,kharif,hectare,tonnes,0.9567737973062715,1267.346519524618,3250.0,3300.0,3275.0,76.8975,270.3846998753622,1
chhattisgarh,sweet potato,131.32258064516128,296964.0,whole year,hectare,tonnes,5.673895504959491,1267.346519524618,1658.3333333333333,2258.333333333333,2016.6666666666667,76.8975,2261.332350773766,1
chhattisgarh,tobacco,6.954545454545454,250.0,whole year,hectare,tonnes,0.6873087911400605,1267.346519524618,3000.0,3200.0,3100.0,76.8975,35.947712418300654,1
chhattisgarh,turmeric,58.986338797814206,19164.0,whole year,hectare,tonnes,1.0744062245619852,1267.346519524618,5200.0,5200.0,5200.0,76.8975,324.8887859558108,1
chhattisgarh,urad,2821.855227882037,626577.0,kharif,hectare,tonnes,0.2986965788086275,1267.346519524618,4300.0,4425.0,4400.0,76.8975,222.04434650259563,1
chhattisgarh,wheat,4889.231143552312,2412036.0,rabi,hectare,tonnes,1.4104081036315632,1267.346519524618,2260.0,2550.0,2370.0,76.8975,493.336463173945,1
dadra and nagar haveli,arhar/tur,1110.48,28379.0,kharif,hectare,tonnes,1.0057343383545745,1500.0,5700.0,5850.0,5850.0,70.0,25.555615589654924,1
dadra and nagar haveli,banana,76.77777777777777,4808.0,kharif,hectare,tonnes,14.377777777777778,1500.0,4500.0,5500.0,5000.0,70.0,62.62228654124458,1
dadra and nagar haveli,coriander,5.0,4.0,winter,hectare,tonnes,0.8,1500.0,1525.0,2250.0,1912.5,70.0,0.8,0
dadra and nagar haveli,cowpea(lobia),6.0,14.4,kharif,hectare,tonnes,1.2,1500.0,2387.5,3765.0,3144.75,70.0,2.4,0
dadra and nagar haveli,gram,170.77777777777777,2712.0,winter,hectare,tonnes,0.9073290627348168,1500.0,4500.0,4700.0,4600.0,70.0,15.880286271958362,1
dadra and nagar haveli,groundnut,18.846153846153847,245.0,kharif,hectare,tonnes,1.1532742584213174,1500.0,4900.0,4900.0,4900.0,70.0,13.0,1
dadra and nagar haveli,jowar,443.4285714285714,8653.0,kharif,hectare,tonnes,1.9816845755459047,1500.0,1800.0,1950.0,1900.0,70.0,19.513853092783506,1
dadra and nagar haveli,maize/corn,57.43478260869565,1326.0,rabi,hectare,tonnes,0.9982993759936772,1500.0,1700.0,1800.0,1800.0,70.0,23.087055261165784,1
dadra and nagar haveli,mustard,9.88888888888889,81.0,winter,hectare,tonnes,0.8602693602693603,1500.0,3150.0,3325.0,3250.0,70.0,8.191011235955056,0
dadra and nagar haveli,ragi,1311.095238095238,36277.0,kharif,hectare,tonnes,1.3044748076439714,1500.0,2215.5714285714284,2348.1428571428573,2304.285714285714,70.0,27.669233283695927,1
dadra and nagar haveli,rice,7475.076923076923,585118.6,kharif,hectare,tonnes,2.045560861017897,1500.0,1825.0,1885.0,1855.0,70.0,78.27593027084878,1
dadra and nagar haveli,urad,1254.1818181818182,12977.0,kharif,hectare,tonnes,0.943074119943526,1500.0,4300.0,4425.0,4400.0,70.0,10.346984633227022,1
dadra and nagar haveli,wheat,466.75,17837.0,winter,hectare,tonnes,1.976589472093634,1500.0,2260.0,2550.0,2370.0,70.0,38.215318693090516,1
daman and diu,bajra,328.87142857142857,10216.7,kharif,hectare,tonnes,1.5038041265278694,1700.0,1913.3333333333333,1998.3333333333333,1965.0,65.0,31.06593979410104,1
daman and diu,rice,1947.119047619048,49050.38,kharif,hectare,tonnes,1.2024660306910837,1700.0,1825.0,1885.0,1855.0,65.0,25.191258880641723,1
delhi,arhar/tur,197.25,1164.0,kharif,hectare,tonnes,1.4609072873355764,631.047266971519,5700.0,5850.0,5850.0,78.0,5.901140684410646,0
delhi,bajra,1800.6363636363635,75132.0,kharif,hectare,tonnes,1.9791206177780247,631.047266971519,1913.3333333333333,1998.3333333333333,1965.0,78.0,41.72524864946736,0
delhi,cotton(lint),1.0,5.0,kharif,hectare,bales,1.0,631.047266971519,5140.8,5334.0,5230.0,78.0,5.0,0
